279,Presidio,,,DVD (Silverdisc),,,
280,Project: Peacemaker,,119,DVD (TV-Movie),,,
281,Rainmaker,,130,DVD (TV-Movie),,,
282,Rambo Trilogy,,,DVD,,,
283,Ratatouille,,,DVD,,,
284,RED,,,DVD,,,
285,Revenge Of The Worrior,,86,DVD (TV-Movie),,,
286,Ricochet,,,DVD (Silverdisc),,,
287,Riddick,,,DVD,,,
288,Rio Bravo,,,DVD (Silverdisc),,,
289,Ritter aus Leidenschaft,,,DVD (Silverdisc),,,
290,Robin Hood,,,DVD (Silverdisc),,,
291,Robots,,,DVD,,,
292,Rocky,The Complete Saga,,DVD,,,
293,Ruby & Quentin,,,DVD,,,
294,Rumour Has It,,,DVD,,,
295,S.W.A.T.,,,DVD,,,
296,Sag' kein Wort,,,DVD,,,
297,Satate Of Play,Stand der Dinge,,BluRay,,,
298,Schatten der Wahrheit,,124,DVD (TV-Movie),,,
299,Schiffsmeldungen,,,DVD (Silverdisc),,,
300,Schnappt Shorty,,,DVD,,,
301,School Of Rock,,,DVD,,,
302,Schräger als Fiction,,,DVD,,,
303,Schwer verliebt,,,DVD (Silverdisc),,,
304,Schwerter des Königs,,,DVD,,,
305,Shaft,,,DVD,,,
306,Shrek - Der tollkühne Held,,,DVD (Silverdisc),,,
307,Shrek 2 - Der tollkühne Held kehrt zurück,,,DVD,,,
308,Sieben,,,DVD (Silverdisc),,,
309,Sieben Jahre in Tibet,,129,DVD (TV-Movie),,,
310,Signs,,,DVD (Silverdisc),,,
311,Smokin' Aces,,,DVD,,,
312,Snakes On A Plane,,,DVD,,,
313,So weit die Füsse tragen,,152,DVD (TV-Movie),,,
314,Solaris,,94,DVD (TV-Movie),,,
315,Spanglish,,,DVD,,,
316,Speed,,,DVD (Silverdisc),,,
317,Spurlos,,92,DVD (TV-Movie),,,
318,Spurlos,,,DVD (Silverdisc),,,
319,Spurwechsel,,,DVD,,,
320,Staatsfeind Nr. 1,,,DVD (Silverdisc),,,
321,Stadtgespräch,,,DVD,,,
322,Star Trek,,,DVD,,,
323,Star Trek V,Am Rande des Universums,,DVD,,,
324,Star Trek VI,Das unentdeckte Land,,DVD,,,
325,Star Trek: Der Aufstand,,,DVD,,,
326,Star Trek: Der erste Kontakt,,,DVD,,,
327,Star Trek: Treffen der Generationen,,,DVD,,,
328,Star Wars Episode II,,,DVD (Silverdisc),,,
329,Star Wars Episode III,,,DVD (Silverdisc),,,
330,Star Wars Episode IV,,,DVD (Silverdisc),,,
331,Stichtag,,,BluRay,,,
332,Stieg Larsson: Verblendung,,,DVD,,,
333,Stieg Larsson: Verdammnis,,,BluRay,,,
334,Stieg Larsson: Vergebung,,,BluRay,,,
335,Stirb langsam,,,DVD (Silverdisc),,,
336,Stirb langsam 2,,,DVD (Silverdisc),,,
337,Stirb Langsam 4.0,,,DVD,,,
338,Stirb Langsam: Jetzt erst Recht,,,DVD,,,
339,Straight Shooter,,83,DVD (TV-Movie),,,
340,Street Kings,,,DVD,,,
341,Swing Vote,Die beste Wahl,,BluRay,,,
342,Syriana,,,DVD,,,
343,Tatsächlich…Liebe,,,DVD,,,
344,Taxi,,85,DVD (TV-Movie),,,
345,Taxi 3,,82,DVD (TV-Movie),,,
346,Taxi Taxi,,85,DVD (TV-Movie),,,
347,Terminator,,,DVD (Silverdisc),,,
348,Terminator,Die Erlösung,,BluRay,,,
349,Terminator 2,,,DVD (Silverdisc),,,
350,Terminator 3,,,DVD (Silverdisc),,,
351,The Art Of War,,,DVD,,,
352,The Blair Witch Project,,78,DVD (TV-Movie),,,
353,The Body,,,DVD (Silverdisc),,,
354,The Book Of Eli,,,BluRay,,,
355,The Code,,103,BluRay (TV-Movie),,,
356,The Contract,Du kannst niemandem vertrauen,,BluRay,,,
357,The Dark Knight,,,BluRay,,,
358,The DaVinci Code,,,DVD,,,
359,The Day After Tomorrow,,,DVD (Silverdisc),,,
360,The Departed,,,DVD (Silverdisc),,,
361,The Fast & The Furious,Teil I - V,,BluRay,,,
362,The Fighting Temptations,,,DVD,22.01.2012,,
363,The Final Cut,Tödliches Risiko,96,DVD (TV-Movie),,,
364,The Fugitive,,,DVD (Silverdisc),,,
365,The Good Girl,,,DVD,,,
366,The Green Mile,,,DVD (Silverdisc),,,
367,The Hard Way,,,DVD (Silverdisc),,,
368,The Hitcher,,80,DVD (TV-Movie),,,
369,The Italian Job,Jadg auf Millionen,106,DVD (TV-Movie),,,
370,The King's Speech,,,BluRay,,,
